UID,Longitude,Latitude
3,-122.400568768999960,37.782227169000066
4,-122.400290990999960,37.782357724000065
5,-122.399846546999980,37.782743836000066
6,-122.399635435999980,37.782852168000034
7,-122.398868768999990,37.783674390000044
9,-122.398190990999980,37.783918835000065
10,-122.397813212999950,37.784027168000080
11,-122.397490990999980,37.784952169000064
12,-122.397846545999980,37.784585503000073
13,-122.397015989999940,37.784821614000066
14,-122.396957656999970,37.785321613000065
17,-122.397024323999970,37.785702169000047
18,-122.397402101999940,37.786127168000064
19,-122.398013212999960,37.786221614000056
20,-122.398113212999990,37.786602169000048
23,-122.397302101999970,37.786449391000076
24,-122.398468769999970,37.786510502000056
25,-122.398802102999980,37.786527169000067
27,-122.399046546999950,37.786196614000062
28,-122.398979880999950,37.786207725000054
29,-122.399090991999970,37.785891057000072
31,-122.398902100999980,37.785068835000061
32,-122.398368768999940,37.785063279000042
34,-122.400057657999980,37.785566057000040
35,-122.400446545999960,37.785288280000032
36,-122.400590990999940,37.785210502000041
37,-122.400946546999990,37.785335502000066
38,-122.401124323999970,37.785496614000067
39,-122.401502101999990,37.785699390000048
40,-122.401413212999960,37.785854946000029
41,-122.401735435999970,37.786029947000031
42,-122.401702102999990,37.785871613000040
45,-122.402124324999990,37.786024390000080
46,-122.402824323999990,37.785752168000045
47,-122.403390990999980,37.785282725000059
48,-122.403613213999960,37.785116057000039
56,-122.402390991999990,37.783468835000065
57,-122.402124324999990,37.783707724000067
60,-122.402213212999980,37.782866057000035
61,-122.402046546999940,37.782799391000026
62,-122.401690990999950,37.782579945000066
63,-122.401490990999950,37.782410502000062
66,-122.394957656999960,37.787507724000079
67,-122.395113211999960,37.787643836000029
68,-122.395424323999980,37.787357725000049
69,-122.395846545999970,37.787091058000044
70,-122.396368768999990,37.786774391000051
71,-122.396457655999940,37.786752168000078
73,-122.397102102999950,37.786699391000070
74,-122.396924324999990,37.786899391000077
75,-122.395879879999940,37.787793835000059
76,-122.395557657999970,37.788043836000043
77,-122.395502101999970,37.788110502000052
78,-122.395313211999960,37.788141058000065
79,-122.395679879999990,37.788507725000045
80,-122.395668768999940,37.788521615000036
83,-122.396346545999960,37.787782725000056
84,-122.396790990999990,37.787766057000056
85,-122.397590990999960,37.787313279000045
87,-122.398690990999970,37.787354947000040
88,-122.398713213999940,37.787738280000042
89,-122.398646545999950,37.787813279000034
90,-122.398102101999940,37.787624391000065
91,-122.398302102999990,37.787424391000059
92,-122.398835435999960,37.787529947000053
93,-122.399235435999970,37.787854947000028
94,-122.399257657999950,37.787907725000025
95,-122.399690991999990,37.787321614000064
96,-122.400079880999950,37.786988279000070
97,-122.399824324999940,37.786810502000037
98,-122.399235434999980,37.786827169000048
99,-122.399179879999960,37.786857725000061
100,-122.399024323999980,37.787857725000038
101,-122.398813213999970,37.788027169000031
102,-122.398446545999950,37.788282726000034
103,-122.397502102999970,37.788757725000039
104,-122.396157656999950,37.788816058000066
105,-122.398102101999940,37.788593835000029
107,-122.395868768999950,37.788677169000039
109,-122.395602101999940,37.788379946000077
110,-122.395746546999990,37.788602169000058
111,-122.396235434999990,37.786060503000044
112,-122.396313213999970,37.785852168000076
113,-122.395668768999940,37.786571614000025
115,-122.395335434999990,37.786732725000036
116,-122.395135434999990,37.786896614000057
117,-122.391468767999980,37.787838280000074
120,-122.393379878999950,37.788316058000078
123,-122.392568767999990,37.789066059000049
124,-122.392268768999940,37.789324392000026
127,-122.391613211999980,37.789574392000077
128,-122.391446545999940,37.789768836000064
129,-122.391213212999960,37.789949392000040
131,-122.390513212999960,37.790352170000062
132,-122.390174323999990,37.790646615000071
133,-122.389935433999990,37.791099391000046
134,-122.390368767999970,37.791221614000051
135,-122.390490990999980,37.791543836000073
140,-122.391579879999990,37.792999392000070
141,-122.392035434999970,37.793213281000078
142,-122.392435435999970,37.793713281000066
143,-122.392602101999960,37.793591059000050
144,-122.392724324999960,37.793446615000050
147,-122.393213212999970,37.793152170000042
148,-122.392924323999980,37.793004947000043
149,-122.392835434999990,37.792638281000052
151,-122.391579879999990,37.792263280000043
152,-122.391402101999970,37.792182725000032
153,-122.392454212999950,37.792669948000025
154,-122.392213212999990,37.791646614000058
157,-122.391646545999950,37.790843836000079
158,-122.392702101999990,37.790868837000062
159,-122.393046545999990,37.790796614000044
162,-122.393024324999940,37.790207726000062
163,-122.394068768999940,37.789918836000027
164,-122.393757656999980,37.790257725000060
165,-122.393935434999950,37.793079947000024
166,-122.394313212999980,37.790046614000062
168,-122.393813212999990,37.789552169000046
169,-122.393479879999970,37.789327169000046
170,-122.394702101999940,37.789624392000064
171,-122.394746545999960,37.789491058000067
172,-122.395090989999970,37.789157724000063
173,-122.394935434999980,37.789293836000070
174,-122.394735434999970,37.789368836000051
175,-122.394335433999970,37.788677169000039
176,-122.395157656999970,37.788782725000033
177,-122.395535435999990,37.788752169000077
178,-122.391524323999990,37.789054948000057
179,-122.394724323999980,37.789410504000045
180,-122.395590989999960,37.789282725000078
181,-122.396179879999980,37.789574391000031
182,-122.396135434999960,37.789716058000067
184,-122.396446546999980,37.790407725000080
185,-122.396724323999990,37.790157726000075
186,-122.397035434999960,37.790213280000046
187,-122.397302101999970,37.789943837000067
188,-122.396902102999950,37.790338280000071
189,-122.397068768999990,37.790618836000078
198,-122.397052102999960,37.792082725000057
199,-122.396621547000000,37.791743836000080
200,-122.396254879999960,37.791435503000059
202,-122.395749324999940,37.791149391000033
203,-122.396204880999960,37.790979947000039
204,-122.396371546999940,37.790699391000032
206,-122.394868768999970,37.790454948000047
207,-122.394657656999980,37.790332725000042
209,-122.395238212999970,37.791541059000053
210,-122.394960435999960,37.791785504000075
211,-122.395046545999950,37.791849392000074
214,-122.394824323999960,37.790902169000049
216,-122.394846545999940,37.792141059000073
221,-122.394757657999950,37.793027169000027
223,-122.393457656999940,37.792099392000068
224,-122.393202101999980,37.792493836000062
226,-122.393671545999950,37.792829947000030
242,-122.396585436999940,37.793196615000056
245,-122.397468769999990,37.793049391000068
246,-122.397646546999970,37.793018836000044
249,-122.397013212999980,37.793496615000038
252,-122.396879880999960,37.794113280000033
253,-122.397124324999990,37.794368836000046
254,-122.396696545999990,37.794660503000046
255,-122.396493768999960,37.794591059000027
256,-122.397202103999970,37.794393836000040
257,-122.397457658999940,37.794241058000068
259,-122.397646546999970,37.793991058000074
260,-122.398035435999990,37.794491058000062
261,-122.398479880999960,37.794357726000044
262,-122.398557657999960,37.794568837000043
263,-122.398835436999950,37.794243836000078
264,-122.399046547999940,37.794210503000045
265,-122.399124324999950,37.793682725000053
266,-122.399013213999980,37.793471615000044
267,-122.398879879999980,37.793449392000070
268,-122.398204880999970,37.793382725000072
269,-122.399402103999990,37.793218836000051
270,-122.398813213999970,37.792818836000038
273,-122.397904880999990,37.792649391000054
274,-122.398524325999970,37.792016058000058
275,-122.399246546999960,37.792329947000042
277,-122.400157657999960,37.792263280000043
279,-122.399743769999990,37.791379947000053
280,-122.400577102999990,37.793099391000055
283,-122.401157657999990,37.793557724000038
284,-122.401413213999940,37.793588279000062
285,-122.402035436999990,37.793388280000045
286,-122.401957657999960,37.793424391000030
287,-122.401402103999940,37.793985503000044
289,-122.401802103999960,37.794091059000039
290,-122.402202102999980,37.794129947000044
291,-122.402260435999950,37.794143836000046
292,-122.402657658999940,37.794071614000075
293,-122.399949325999960,37.791218836000041
294,-122.400329880999950,37.791188280000028
295,-122.400710435999940,37.791138280000041
296,-122.400843769999990,37.791171614000064
297,-122.400760435999980,37.790888279000058
298,-122.400721547999980,37.790585503000045
299,-122.400879880999980,37.791460503000053
300,-122.400946546999990,37.791791058000058
301,-122.401621547999980,37.792085503000067
302,-122.401857658999970,37.792052169000044
303,-122.402002102999970,37.792604947000029
304,-122.402068769999970,37.792024391000041
305,-122.402543769999970,37.791866058000039
306,-122.402710436999940,37.791949390000070
307,-122.402646546999960,37.792002169000057
308,-122.402268770999970,37.791596614000071
309,-122.402213213999970,37.790904947000058
310,-122.402290991999960,37.791104946000075
311,-122.402238213999960,37.790949390000037
312,-122.402604881999990,37.791043836000028
313,-122.402754880999960,37.791021614000044
314,-122.402857657999960,37.790849391000052
315,-122.400668769999980,37.790146614000037
321,-122.402257657999940,37.789616058000036
322,-122.401835435999940,37.789479947000075
332,-122.402268770999970,37.790188280000052
333,-122.402535435999990,37.790449391000038
334,-122.402802102999940,37.790874390000056
335,-122.403279880999950,37.790913279000051
336,-122.403521547999960,37.790857724000034
337,-122.403760436999960,37.790854946000024
339,-122.404124324999940,37.791568836000067
340,-122.404557659999970,37.791310503000034
341,-122.405457658999980,37.785363279000080
342,-122.404760435999950,37.785027167000067
343,-122.404621546999980,37.784757723000041
356,-122.403046545999980,37.787204947000077
358,-122.402690991999980,37.786796613000035
359,-122.402602103999980,37.786810502000037
361,-122.402490991999970,37.786529947000076
