UID,Longitude,Latitude
AU_1724,-87.64971476,41.87668285
AU_1725,-87.64941875,41.87670085
AU_1727,-87.64850075,41.87677985
AU_1726,-87.64846075,41.87650985
AU_11,-87.63684902,41.89181721
AU_1095,-87.63680475,41.88320885
AU_1073,-87.63675575,41.88193885
AU_70,-87.63667575,41.88965786
AU_12,-87.63635271,41.89180029
AU_57,-87.63586575,41.89449786
AU_53,-87.63583575,41.89525786
AU_61,-87.63579575,41.89090786
AU_58,-87.63575575,41.89299786
AU_62,-87.63556575,41.88986786
AU_13,-87.63555731,41.89185719
AU_71,-87.63532575,41.89034786
AU_14,-87.63513579,41.89172791
AU_1062,-87.63477375,41.88576885
AU_67,-87.63439575,41.88899786
AU_15,-87.63413853,41.89174759
AU_69,-87.63405575,41.88805786
AU_4,-87.63357204,41.89248446
AU_5,-87.63357204,41.89248552
AU_73,-87.63340575,41.88980786
AU_50,-87.63229476,41.89073414
AU_7,-87.63215988,41.89279409
AU_45,-87.63116039,41.8910372
AU_23,-87.63088179,41.89165776
AU_2,-87.62999519,41.8924441
AU_1,-87.62999475,41.89244456
AU_3,-87.62996518,41.89249438
AU_30,-87.62969174,41.89117643
AU_81,-87.62967575,41.88966786
AU_1104,-87.62946075,41.88255785
AU_31,-87.6293546,41.89117671
AU_98,-87.62815575,41.89472786
AU_97,-87.62813575,41.89403786
AU_96,-87.62801575,41.89264186
AU_44,-87.62771771,41.89080961
AU_92,-87.62662575,41.89237786
AU_93,-87.62661575,41.89263786
AU_40,-87.62640705,41.89151255
AU_674,-87.62552575,41.89571986
AU_672,-87.62551575,41.89571986
AU_576,-87.62546275,41.89410186
AU_605,-87.62430075,41.89097886
AU_607,-87.62429575,41.89097886
AU_774,-87.62274575,41.89495386
AU_736,-87.62273575,41.89334886
AU_612,-87.62270575,41.89115286
AU_695,-87.62264575,41.89096086
AU_696,-87.62260575,41.89096086
AU_610,-87.62200575,41.89115286
AU_616,-87.62191475,41.89058386
AU_617,-87.62191475,41.89058686
AU_614,-87.62190575,41.89058386
AU_611,-87.62100575,41.89114286
AU_609,-87.62100575,41.89114786
AU_608,-87.62100575,41.89115286
AU_768,-87.61776575,41.89501786
AU_651,-87.61776575,41.89503386
AU_645,-87.61775575,41.89345286
AU_1127,-87.61752585,42.89394303
AU_676,-87.61752475,41.89583486
AU_718,-87.61520575,41.89171086
AU_716,-87.61271075,41.89186486
AU_715,-87.61271075,41.89187086
AU_717,-87.61521075,41.89171086
AU_675,-87.61752875,41.89583486
AU_677,-87.61752875,41.89583986
AU_682,-87.61753375,41.89394286
AU_644,-87.61776075,41.89345286
AU_767,-87.61777175,41.89501786
AU_650,-87.61777175,41.89503386
AU_769,-87.61777175,41.89510786
AU_738,-87.62024275,41.89340786
AU_737,-87.62024275,41.89341686
AU_664,-87.62032875,41.89580786
AU_663,-87.62032875,41.89581286
AU_636,-87.62035375,41.89577786
AU_635,-87.62035375,41.89578486
AU_615,-87.62190875,41.89057886
AU_613,-87.62190875,41.89058386
AU_734,-87.62274275,41.89334886
AU_735,-87.62274275,41.89335386
AU_775,-87.62275275,41.89494786
AU_773,-87.62275275,41.89495386
AU_604,-87.62430475,41.89097886
AU_606,-87.62430475,41.89098286
AU_575,-87.62545675,41.89410186
AU_577,-87.62545675,41.89410686
AU_673,-87.62552075,41.89571586
AU_671,-87.62552075,41.89571986
AU_1046,-87.62619675,41.88501786
AU_1103,-87.62946975,41.88255785
AU_1036,-87.63244175,41.88446786
AU_1035,-87.63244175,41.88447485
AU_1061,-87.63477975,41.88576885
AU_1122,-87.63540275,41.88505786
AU_1121,-87.63540275,41.88506586
AU_1072,-87.63675975,41.88194685
AU_1094,-87.63679675,41.88320886
AU_796,-87.65103631,41.8668773
AU_803,-87.6464252,41.86712174
AU_801,-87.64690298,41.86712729
AU_809,-87.64281964,41.86714396
AU_810,-87.6417002,41.86718841
AU_821,-87.63835297,41.86719396
AU_829,-87.63482242,41.86721063
AU_823,-87.63771131,41.86721618
AU_825,-87.63696131,41.86721619
AU_827,-87.63576408,41.8672273
AU_989,-87.64243353,41.86958285
AU_982,-87.64476964,41.8696523
AU_854,-87.63059742,41.86967452
AU_990,-87.64199742,41.86974119
AU_857,-87.62858075,41.86978285
AU_1137,-87.62586964,41.86978563
AU_988,-87.64248909,41.86979952
AU_979,-87.64546686,41.86980785
AU_1244,-87.61718352,41.86996341
AU_866,-87.6295863,41.87006896
AU_1306,-87.62434464,41.87012452
AU_1232,-87.62044741,41.87013285
AU_980,-87.64540575,41.87024396
AU_856,-87.62857242,41.8703023
AU_1245,-87.61730019,41.87034397
AU_1305,-87.62399464,41.87035507
AU_855,-87.63051964,41.87060785
AU_865,-87.62957242,41.87068285
AU_867,-87.62950019,41.87088563
AU_1246,-87.6171363,41.87091619
AU_974,-87.64701409,41.87111896
AU_1231,-87.62058075,41.87118285
AU_1247,-87.61717797,41.87167174
AU_893,-87.63359742,41.87171063
AU_1230,-87.62057797,41.87199397
AU_894,-87.63300297,41.87210507
AU_892,-87.63342519,41.8721523
AU_895,-87.63243908,41.8721773
AU_896,-87.63215019,41.87218285
AU_897,-87.63174464,41.87219119
AU_831,-87.63402242,41.86724118
AU_846,-87.62880575,41.86726619
AU_833,-87.63309186,41.86729674
AU_820,-87.63868075,41.86729952
AU_824,-87.63738075,41.86731619
AU_1236,-87.62007797,41.86733563
AU_822,-87.63810297,41.86733841
AU_826,-87.63628075,41.86737452
AU_828,-87.63485297,41.86739396
AU_832,-87.63342242,41.8674023
AU_830,-87.63442242,41.86742174
AU_811,-87.64069742,41.86743563
AU_834,-87.63281964,41.8674773
AU_907,-87.62885019,41.87225785
AU_908,-87.62869464,41.87228563
AU_891,-87.63359464,41.87231619
AU_906,-87.62915853,41.8723273
AU_898,-87.63163908,41.87249396
AU_905,-87.62960853,41.87249396
AU_1146,-87.62594186,41.87251896
AU_973,-87.64709742,41.87261341
AU_954,-87.64235575,41.87272452
AU_890,-87.63360853,41.87281896
AU_955,-87.64100853,41.87288285
AU_899,-87.63164186,41.87295507
AU_953,-87.64240575,41.8729773
AU_972,-87.64707798,41.87299952
AU_904,-87.62961686,41.87307452
AU_952,-87.64238353,41.87338563
AU_949,-87.6415002,41.87358841
AU_879,-87.62963353,41.8736023
AU_950,-87.64101964,41.87360508
AU_951,-87.64245297,41.87375507
AU_1252,-87.61728075,41.87389119
AU_884,-87.63157519,41.87393285
AU_959,-87.64226131,41.8742023
AU_1225,-87.6206363,41.87420508
AU_957,-87.64276686,41.87426619
